a,b,12,false,-1,Send
a,b,3,false,-1,Request
a,b,100,true,-1,Send
a,b,2,true,-1,Send
a,a,10,true,-1,Send
a,b,5,true,-1,Send
System,a,100,true,1,withdrawal
a,b,200,true,-1,Request
b,c,122,true,-1,Request
b,c,11,true,-1,Request
b,c,2,true,-1,Request
b,a,32,true,-1,Request
a,c,10,true,-1,Request
b,b,12,true,-1,Request
b,a,11,true,-1,Request
b,c,56,true,-1,Request
b,a,0,true,-1,Request
b,a,12,true,-1,Request
c,a,12,true,-1,Request
b,c,10,true,-1,Request
c,a,14,true,-1,Request
a,c,43,true,-1,Request
b,c,12,true,-1,Request
a,b,11,true,-1,Send
a,b,11,true,-1,Send
a,b,32,true,-1,Send
a,b,10,true,-1,Send
b,a,200,true,-1,Send
b,a,12,true,-1,Send
c,b,2,true,-1,Send
c,b,12,true,-1,Send
c,b,122,true,-1,Send
c,b,11,true,-1,Send
c,b,14,true,-1,Send
b,a,200,true,-1,Send
b,a,12,true,-1,Send
c,b,2,true,-1,Send
c,a,10,true,-1,Send
